article_id,tag_id
0,15
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,40
10,40
11,40
12,40
13,40
14,52
15,52
16,52
17,52
18,52
19,52
20,16
21,29
22,52
23,16
24,2
25,38
26,16
27,38
28,5
29,5
30,22
31,38
32,38
33,38
34,2
44,27
45,27
46,27
47,27
48,27
0,1
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
14,27
15,27
16,27
17,27
18,2
19,2
21,2
22,29
23,29
24,15
25,29
26,29
27,6
28,6
29,6
30,42
31,44
32,6
51,14
0,58
1,54
2,54
3,54
4,54
5,55
6,55
7,55
8,58
9,55
10,55
11,55
12,55
13,59
14,54
15,58
16,54
17,57
18,57
19,54
20,57
21,57
22,54
23,55
24,54
25,54
26,58
27,58
28,54
29,54
30,54
31,54
32,54
33,54
34,55
35,55
36,56
37,54
38,54
39,56
40,53
41,59
42,54
43,53
44,54
45,55
46,55
48,55
49,54
50,54
